Country,Chain,Lag,R2,Adj_R2,N_obs
Brazil,A,nolag,0.9428645669155687,0.9314374802986825,19
Brazil,A,lag,0.8996856586982382,0.8695913563077097,14
Brazil,B,nolag,0.3462902269703694,0.26938319484923634,20
Brazil,B,lag,0.3627126014747667,0.25649803505389446,15
Russia,A,nolag,0.5013184108741408,0.40158209304896897,19
Russia,A,lag,0.5454230452626696,0.40904995884147044,14
Russia,B,nolag,0.5149246212459082,0.4578569296277798,20
Russia,B,lag,0.47898941955863283,0.3921543228184049,15
India,A,nolag,0.7876585217822258,0.7345731522277823,16
India,A,lag,0.7712679366012538,0.6732399094303626,11
India,B,nolag,0.20526535700639703,0.11176716371303197,20
India,B,lag,0.0706351584591629,-0.08425898179764335,15
China,A,nolag,0.951860929523033,0.9387320921202239,15
China,A,lag,0.9918431103801003,0.9877646655701504,10
China,B,nolag,0.3711516507037357,0.2971694919629987,20
China,B,lag,0.8319701486226494,0.8039651733930909,15
